id,customer_email,film_title,rental_date,return_date,staff_id,status
369,MILTON.HOWLAND@email.com,DARKNESS WAR,2005-05-27T06:46:49.000Z,2005-06-01T05:20:49.000Z,2,returned
378,HEATHER.MORRIS@email.com,JERK PAYCHECK,2005-05-27T08:23:22.000Z,2005-05-29T14:20:22.000Z,1,delayed
381,BILLY.POULIN@email.com,MOVIE SHAKESPEARE,2005-05-27T08:43:25.000Z,2005-05-31T11:00:25.000Z,1,lost
387,LESLIE.SEWARD@email.com,MODERN DORADO,2005-05-27T09:35:27.000Z,2005-06-01T12:37:27.000Z,2,returned
402,JUSTIN.NGO@email.com,BROTHERHOOD BLANKET,2005-05-27T12:17:18.000Z,2005-05-30T07:53:18.000Z,2,lost
429,GENE.SANBORN@email.com,ANGELS LIFE,2005-05-27T15:21:26.000Z,2005-06-05T19:23:26.000Z,2,lost
433,JULIAN.VEST@email.com,VOYAGE LEGALLY,2005-05-27T15:40:40.000Z,2005-05-30T18:55:40.000Z,2,lost
434,MARIAN.MENDOZA@email.com,ROCKETEER MOTHER,2005-05-27T15:54:27.000Z,2005-06-04T21:26:27.000Z,1,lost
459,TIM.CARY@email.com,CELEBRITY HORN,2005-05-27T19:00:04.000Z,2005-05-29T21:47:04.000Z,1,lost
467,FELIX.GAFFNEY@email.com,BIRD INDEPENDENCE,2005-05-27T20:10:03.000Z,2005-06-01T15:08:03.000Z,1,delayed
474,NAOMI.JENNINGS@email.com,FLATLINERS KILLER,2005-05-27T21:11:56.000Z,2005-05-31T18:07:56.000Z,1,lost
480,CHARLENE.ALVAREZ@email.com,INDEPENDENCE HOTEL,2005-05-27T21:47:39.000Z,2005-06-04T20:17:39.000Z,2,returned
26,BILLY.POULIN@email.com,WAIT CIDER,2005-05-25T02:36:50.000Z,2005-05-30T23:34:50.000Z,1,delayed
66,JACQUELINE.LONG@email.com,DRUMLINE CYCLONE,2005-05-25T08:35:12.000Z,2005-05-29T03:16:12.000Z,2,returned
69,RICHARD.MCCRARY@email.com,PURPLE MOVIE,2005-05-25T09:10:14.000Z,2005-05-27T13:02:14.000Z,2,delayed
77,JIM.REA@email.com,ENTRAPMENT SATISFACTION,2005-05-25T10:31:59.000Z,2005-05-26T15:53:59.000Z,2,borrowed
88,HEATHER.MORRIS@email.com,JEEPERS WEDDING,2005-05-25T13:13:54.000Z,2005-05-29T08:32:54.000Z,2,returned
116,CAROL.GARCIA@email.com,WIFE TURN,2005-05-25T18:27:51.000Z,2005-05-26T15:23:51.000Z,1,borrowed
137,JORDAN.ARCHULETA@email.com,MENAGERIE RUSHMORE,2005-05-25T21:25:18.000Z,2005-06-01T01:30:18.000Z,2,delayed
147,NAOMI.JENNINGS@email.com,CHARIOTS CONSPIRACY,2005-05-25T23:17:50.000Z,2005-05-29T22:21:50.000Z,2,borrowed
163,RITA.GRAHAM@email.com,KISSING DOLLS,2005-05-26T01:26:23.000Z,2005-06-04T05:36:23.000Z,1,returned
168,WESLEY.BULL@email.com,MOON BUNCH,2005-05-26T02:07:43.000Z,2005-06-02T01:09:43.000Z,2,returned
170,FLORENCE.WOODS@email.com,SLEEPY JAPANESE,2005-05-26T02:11:12.000Z,2005-06-02T02:53:12.000Z,1,returned
173,JESSIE.MILAM@email.com,SHEPHERD MIDSUMMER,2005-05-26T02:42:10.000Z,2005-05-28T00:37:10.000Z,2,delayed
192,RANDALL.NEUMANN@email.com,HEDWIG ALTER,2005-05-26T05:20:37.000Z,2005-06-02T09:57:37.000Z,1,returned
201,MARCUS.HIDALGO@email.com,COMFORTS RUSH,2005-05-26T06:13:45.000Z,2005-06-04T01:02:45.000Z,2,delayed
229,MARK.RINEHART@email.com,DRAGONFLY STRANGERS,2005-05-26T10:19:20.000Z,2005-05-31T10:56:20.000Z,2,lost
279,ERNEST.STEPP@email.com,CHILL LUCK,2005-05-26T17:02:50.000Z,2005-06-03T17:48:50.000Z,2,delayed
290,FREDERICK.ISBELL@email.com,MUSCLE BRIGHT,2005-05-26T19:08:33.000Z,2005-05-29T23:32:33.000Z,1,returned
294,FRED.WHEAT@email.com,MOVIE SHAKESPEARE,2005-05-26T19:29:57.000Z,2005-05-28T16:20:57.000Z,1,borrowed
300,FRANCES.PARKER@email.com,BAREFOOT MANCHURIAN,2005-05-26T19:57:00.000Z,2005-06-05T00:34:00.000Z,2,borrowed
310,RODNEY.MOELLER@email.com,CAUSE DATE,2005-05-26T21:41:07.000Z,2005-06-02T03:09:07.000Z,1,delayed
316,DORA.MEDINA@email.com,STAGECOACH ARMAGEDDON,2005-05-26T22:22:55.000Z,2005-05-29T22:25:55.000Z,2,borrowed
328,JIM.REA@email.com,MALKOVICH PET,2005-05-27T00:29:31.000Z,2005-06-01T01:27:31.000Z,1,lost
333,ALLEN.BUTTERFIELD@email.com,SWEDEN SHINING,2005-05-27T01:52:21.000Z,2005-05-31T23:55:21.000Z,2,borrowed
373,JEROME.KENYON@email.com,GLASS DYING,2005-05-27T07:16:25.000Z,2005-06-01T10:41:25.000Z,1,delayed
430,YOLANDA.WEAVER@email.com,HILLS NEIGHBORS,2005-05-27T15:22:10.000Z,2005-06-05T12:10:10.000Z,1,delayed
445,MAE.FLETCHER@email.com,GRIT CLOCKWORK,2005-05-27T17:42:57.000Z,2005-05-30T21:35:57.000Z,2,returned
490,PAULA.BRYANT@email.com,SCORPION APOLLO,2005-05-27T23:09:56.000Z,2005-05-30T21:32:56.000Z,2,delayed
495,KARL.SEAL@email.com,DESTINY SATURDAY,2005-05-27T23:40:48.000Z,2005-05-29T05:07:48.000Z,1,lost
496,GLORIA.COOK@email.com,GUNFIGHT MOON,2005-05-27T23:43:41.000Z,2005-06-04T02:56:41.000Z,1,borrowed
1,CHARLOTTE.HUNTER@email.com,BLANKET BEVERLY,2005-05-24T21:53:30.000Z,2005-05-26T21:04:30.000Z,1,returned
20,ROBERTA.HARPER@email.com,SCISSORHANDS SLUMS,2005-05-25T00:48:41.000Z,2005-05-27T01:20:41.000Z,2,lost
5,DELORES.HANSEN@email.com,IDOLS SNATCHERS,2005-05-24T22:05:21.000Z,2005-06-02T03:33:21.000Z,1,returned
13,RAYMOND.MCWHORTER@email.com,KING EVOLUTION,2005-05-24T23:22:55.000Z,2005-05-30T03:28:55.000Z,1,returned
15,RONALD.WEINER@email.com,PELICAN COMFORTS,2005-05-24T23:39:22.000Z,2005-06-03T02:30:22.000Z,1,borrowed
27,ROBERT.BAUGHMAN@email.com,EASY GLADIATOR,2005-05-25T02:41:50.000Z,2005-05-30T00:13:50.000Z,2,borrowed
33,KAY.CALDWELL@email.com,GOLDMINE TYCOON,2005-05-25T03:18:51.000Z,2005-05-27T02:58:51.000Z,1,delayed
56,CHESTER.BENNER@email.com,EYES DRIVING,2005-05-25T07:28:11.000Z,2005-05-26T13:21:11.000Z,1,delayed
65,ARTHUR.SIMPKINS@email.com,SECRET GROUNDHOG,2005-05-25T08:32:03.000Z,2005-05-29T13:21:03.000Z,1,lost
78,JUANITA.MASON@email.com,THIEF PELICAN,2005-05-25T10:35:18.000Z,2005-05-31T11:48:18.000Z,2,delayed
100,LUCY.WHEELER@email.com,METAL ARMAGEDDON,2005-05-25T15:50:28.000Z,2005-06-02T21:11:28.000Z,1,borrowed
114,LESLIE.SEWARD@email.com,WOMEN DORADO,2005-05-25T18:12:42.000Z,2005-06-01T22:10:42.000Z,1,delayed
129,SARAH.LEWIS@email.com,TRADING PINOCCHIO,2005-05-25T20:20:03.000Z,2005-06-04T00:25:03.000Z,2,borrowed
134,DELORES.HANSEN@email.com,JUMPING WRATH,2005-05-25T20:48:41.000Z,2005-06-02T17:28:41.000Z,1,lost
135,DAVID.ROYAL@email.com,AMERICAN CIRCUS,2005-05-25T20:58:58.000Z,2005-06-03T16:50:58.000Z,1,borrowed
149,RONALD.WEINER@email.com,DOOM DANCING,2005-05-25T23:28:05.000Z,2005-06-02T20:30:05.000Z,2,borrowed
194,ANGELA.HERNANDEZ@email.com,EXPENDABLE STALLION,2005-05-26T05:52:33.000Z,2005-05-30T03:08:33.000Z,2,lost
218,CHRISTOPHER.GRECO@email.com,KICK SAVANNAH,2005-05-26T08:27:09.000Z,2005-06-04T10:53:09.000Z,2,returned
235,SHERRY.MARSHALL@email.com,SEABISCUIT PUNK,2005-05-26T10:51:09.000Z,2005-06-04T08:36:09.000Z,1,delayed
245,VERONICA.STONE@email.com,PEAK FOREVER,2005-05-26T12:46:59.000Z,2005-05-27T08:58:59.000Z,2,borrowed
247,CRYSTAL.FORD@email.com,TITANIC BOONDOCK,2005-05-26T13:01:05.000Z,2005-05-28T12:38:05.000Z,2,delayed
272,KATHY.JAMES@email.com,DAY UNFAITHFUL,2005-05-26T15:27:11.000Z,2005-06-03T12:10:11.000Z,2,returned
284,WILLIE.MARKHAM@email.com,BIRDS PERDITION,2005-05-26T18:21:44.000Z,2005-06-04T13:18:44.000Z,2,borrowed
291,CLIFTON.MALCOLM@email.com,BUTTERFLY CHOCOLAT,2005-05-26T19:20:47.000Z,2005-06-03T01:06:47.000Z,2,returned
306,KURT.EMMONS@email.com,MUSIC BOONDOCK,2005-05-26T20:31:57.000Z,2005-05-28T18:37:57.000Z,1,lost
313,EDUARDO.HIATT@email.com,TRADING PINOCCHIO,2005-05-26T21:56:19.000Z,2005-05-29T00:29:19.000Z,2,delayed
347,EUGENE.CULPEPPER@email.com,GHOSTBUSTERS ELF,2005-05-27T03:40:33.000Z,2005-05-28T08:56:33.000Z,2,lost
354,TOM.MILNER@email.com,ICE CROSSING,2005-05-27T05:12:26.000Z,2005-06-01T05:48:26.000Z,1,returned
363,CARL.ARTIS@email.com,VALLEY PACKER,2005-05-27T06:14:00.000Z,2005-05-28T11:22:00.000Z,2,lost
403,KYLE.SPURLOCK@email.com,SUPERFLY TRIP,2005-05-27T12:28:52.000Z,2005-05-29T10:47:52.000Z,2,returned
404,REGINA.BERRY@email.com,ENGLISH BULWORTH,2005-05-27T12:31:51.000Z,2005-05-30T15:58:51.000Z,1,returned
415,DAVID.ROYAL@email.com,SLIPPER FIDELITY,2005-05-27T13:51:45.000Z,2005-05-28T18:07:45.000Z,2,delayed
417,PEDRO.CHESTNUT@email.com,JINGLE SAGEBRUSH,2005-05-27T14:07:27.000Z,2005-05-29T19:01:27.000Z,2,lost
420,PHYLLIS.FOSTER@email.com,CHANCE RESURRECTION,2005-05-27T14:19:38.000Z,2005-06-03T14:07:38.000Z,2,lost
432,CATHERINE.CAMPBELL@email.com,DOZEN LION,2005-05-27T15:40:29.000Z,2005-05-29T15:20:29.000Z,1,delayed
442,MIKE.WAY@email.com,FISH OPUS,2005-05-27T17:12:13.000Z,2005-05-30T11:30:13.000Z,2,borrowed
451,WANDA.PATTERSON@email.com,ATTRACTION NEWTON,2005-05-27T18:27:54.000Z,2005-05-29T00:07:54.000Z,2,borrowed
462,BENJAMIN.VARNEY@email.com,KNOCK WARLOCK,2005-05-27T19:10:36.000Z,2005-06-03T20:12:36.000Z,2,lost
464,KATIE.ELLIOTT@email.com,EVERYONE CRAFT,2005-05-27T19:42:44.000Z,2005-05-29T23:49:44.000Z,2,lost
55,MONICA.HICKS@email.com,DREAM PICKUP,2005-05-25T07:26:13.000Z,2005-05-30T09:57:13.000Z,1,borrowed
68,SYLVIA.ORTIZ@email.com,TEEN APOLLO,2005-05-25T08:47:31.000Z,2005-05-31T09:20:31.000Z,2,delayed
91,MARGIE.WADE@email.com,ANTHEM LUKE,2005-05-25T13:57:22.000Z,2005-06-01T17:32:22.000Z,1,lost
105,TRACY.COLE@email.com,CONFESSIONS MAGUIRE,2005-05-25T16:54:12.000Z,2005-05-30T11:03:12.000Z,2,returned
160,KRISTINA.CHAMBERS@email.com,HEAVEN FREEDOM,2005-05-26T00:46:20.000Z,2005-06-01T04:45:20.000Z,1,lost
162,RAMONA.HALE@email.com,EDGE KISSING,2005-05-26T01:02:05.000Z,2005-05-27T02:38:05.000Z,2,lost
172,JUNE.CARROLL@email.com,NOTTING SPEAKEASY,2005-05-26T02:17:42.000Z,2005-05-29T03:11:42.000Z,2,returned
174,HUGH.WALDROP@email.com,SUMMER SCARFACE,2005-05-26T02:44:10.000Z,2005-05-28T06:13:10.000Z,2,delayed
179,RUTH.MARTINEZ@email.com,MASSACRE USUAL,2005-05-26T03:26:06.000Z,2005-06-03T09:06:06.000Z,1,returned
200,KEVIN.SCHULER@email.com,STREETCAR INTENTIONS,2005-05-26T06:12:21.000Z,2005-05-31T11:07:21.000Z,1,borrowed
209,CARLOS.COUGHLIN@email.com,CLOSER BANG,2005-05-26T07:14:01.000Z,2005-05-27T08:00:01.000Z,1,lost
214,LILLIAN.GRIFFIN@email.com,FISH OPUS,2005-05-26T07:48:49.000Z,2005-05-31T03:06:49.000Z,2,returned
280,SALLY.PIERCE@email.com,HEDWIG ALTER,2005-05-26T17:36:58.000Z,2005-05-27T22:42:58.000Z,1,delayed
293,VERONICA.STONE@email.com,HANKY OCTOBER,2005-05-26T19:27:02.000Z,2005-06-03T15:45:02.000Z,2,lost
302,JESSE.SCHILLING@email.com,ORANGE GRAPES,2005-05-26T20:13:46.000Z,2005-06-03T14:49:46.000Z,2,delayed
334,KRISTEN.CHAVEZ@email.com,SUNRISE LEAGUE,2005-05-27T02:03:07.000Z,2005-05-29T02:54:07.000Z,1,lost
336,CAROLE.BARNETT@email.com,HALLOWEEN NUTS,2005-05-27T02:15:23.000Z,2005-05-29T21:43:23.000Z,1,delayed
345,CLARA.SHAW@email.com,FATAL HAUNTED,2005-05-27T03:32:25.000Z,2005-05-31T08:50:25.000Z,1,delayed
382,IDA.ANDREWS@email.com,VOLCANO TEXAS,2005-05-27T09:12:00.000Z,2005-05-31T14:03:00.000Z,1,returned
385,GINA.WILLIAMSON@email.com,FURY MURDER,2005-05-27T09:23:25.000Z,2005-05-30T14:27:25.000Z,2,lost
388,CYNTHIA.YOUNG@email.com,BREAKING HOME,2005-05-27T09:37:27.000Z,2005-05-30T04:45:27.000Z,1,borrowed
419,JANE.BENNETT@email.com,MAJESTIC FLOATS,2005-05-27T14:15:11.000Z,2005-06-02T10:53:11.000Z,1,lost
426,ARNOLD.HAVENS@email.com,DOUBLE WRATH,2005-05-27T14:56:57.000Z,2005-06-05T10:45:57.000Z,1,borrowed
428,GERALDINE.PERKINS@email.com,ROBBERS JOON,2005-05-27T15:10:58.000Z,2005-05-31T16:24:58.000Z,2,returned
440,GEORGE.LINTON@email.com,WIFE TURN,2005-05-27T17:00:35.000Z,2005-05-29T15:15:35.000Z,1,returned
452,ELAINE.STEVENS@email.com,PAPI NECKLACE,2005-05-27T18:30:33.000Z,2005-05-30T19:53:33.000Z,2,borrowed
466,LEROY.BUSTAMANTE@email.com,GUNFIGHT MOON,2005-05-27T19:57:07.000Z,2005-05-29T14:52:07.000Z,1,borrowed
472,CLAUDE.HERZOG@email.com,EXPENDABLE STALLION,2005-05-27T20:36:15.000Z,2005-05-29T20:07:15.000Z,1,lost
8,MINNIE.ROMERO@email.com,LAWLESS VISION,2005-05-24T22:31:46.000Z,2005-05-27T22:33:46.000Z,2,lost
10,DANNY.ISOM@email.com,HANGING DEEP,2005-05-24T23:02:21.000Z,2005-05-31T21:44:21.000Z,2,returned
39,GERTRUDE.CASTILLO@email.com,WIND PHANTOM,2005-05-25T03:51:46.000Z,2005-05-31T02:14:46.000Z,2,borrowed
90,DEBORAH.WALKER@email.com,PANKY SUBMARINE,2005-05-25T13:31:25.000Z,2005-06-01T09:07:25.000Z,1,returned
92,MICHAEL.SILVERMAN@email.com,COMFORTS RUSH,2005-05-25T14:38:46.000Z,2005-05-31T12:40:46.000Z,2,borrowed
104,DANIEL.CABRAL@email.com,VALLEY PACKER,2005-05-25T16:46:33.000Z,2005-05-27T14:20:33.000Z,1,delayed
122,PRISCILLA.LOWE@email.com,OPERATION OPERATION,2005-05-25T18:46:21.000Z,2005-06-02T18:07:21.000Z,1,borrowed
158,JUSTIN.NGO@email.com,LIGHTS DEER,2005-05-26T00:27:11.000Z,2005-06-02T23:30:11.000Z,2,delayed
167,TONY.CARRANZA@email.com,CREEPERS KANE,2005-05-26T01:50:31.000Z,2005-05-27T02:07:31.000Z,1,lost
185,ETHEL.WEBB@email.com,METAL ARMAGEDDON,2005-05-26T04:30:03.000Z,2005-06-02T08:48:03.000Z,2,returned
197,KELLY.KNOTT@email.com,TRUMAN CRAZY,2005-05-26T05:59:21.000Z,2005-06-03T04:04:21.000Z,2,borrowed
225,ALVIN.DELOACH@email.com,CHICAGO NORTH,2005-05-26T09:27:50.000Z,2005-06-01T06:01:50.000Z,2,lost
226,BESSIE.MORRISON@email.com,TRIP NEWTON,2005-05-26T09:44:04.000Z,2005-05-31T12:26:04.000Z,2,lost
251,ROSEMARY.SCHMIDT@email.com,VOICE PEACH,2005-05-26T13:35:40.000Z,2005-05-29T16:17:40.000Z,1,returned
254,SHAWN.HEATON@email.com,HANOVER GALAXY,2005-05-26T13:43:48.000Z,2005-05-31T08:19:48.000Z,2,lost
255,GRACE.ELLIS@email.com,RECORDS ZORRO,2005-05-26T13:52:15.000Z,2005-05-27T11:45:15.000Z,1,delayed
257,LOUIS.LEONE@email.com,MASSACRE USUAL,2005-05-26T14:27:05.000Z,2005-05-29T15:25:05.000Z,2,lost
277,JANET.PHILLIPS@email.com,FERRIS MOTHER,2005-05-26T16:32:11.000Z,2005-05-28T21:54:11.000Z,1,returned
286,BILLY.POULIN@email.com,BIKINI BORROWERS,2005-05-26T18:44:51.000Z,2005-06-04T17:00:51.000Z,2,returned
303,ENRIQUE.FORSYTHE@email.com,DOUBTFIRE LABYRINTH,2005-05-26T20:16:52.000Z,2005-05-27T22:41:52.000Z,2,delayed
314,TARA.RYAN@email.com,NONE SPIKING,2005-05-26T22:09:41.000Z,2005-05-28T21:49:41.000Z,2,lost
326,EDWIN.BURK@email.com,SUPER WYOMING,2005-05-27T00:10:11.000Z,2005-06-04T19:25:11.000Z,2,borrowed
406,BOBBY.BOUDREAU@email.com,INSIDER ARIZONA,2005-05-27T12:46:46.000Z,2005-05-30T11:43:46.000Z,1,delayed
413,JOSEPH.JOY@email.com,SCISSORHANDS SLUMS,2005-05-27T13:45:37.000Z,2005-06-03T10:11:37.000Z,1,delayed
424,VIRGINIA.GREEN@email.com,NECKLACE OUTBREAK,2005-05-27T14:34:01.000Z,2005-06-05T08:44:01.000Z,1,borrowed
436,MARGIE.WADE@email.com,VIDEOTAPE ARSENIC,2005-05-27T16:21:04.000Z,2005-05-30T20:26:04.000Z,2,delayed
476,LANCE.PEMBERTON@email.com,LOVE SUICIDES,2005-05-27T21:31:36.000Z,2005-06-03T18:12:36.000Z,1,returned
479,GEORGIA.JACOBS@email.com,ICE CROSSING,2005-05-27T21:39:10.000Z,2005-06-05T21:46:10.000Z,2,returned
501,LAUREN.HUDSON@email.com,CENTER DINOSAUR,2005-05-28T00:09:36.000Z,2005-05-30T05:14:36.000Z,2,delayed
12,DEANNA.BYRD@email.com,GAMES BOWFINGER,2005-05-24T23:19:27.000Z,2005-05-30T04:44:27.000Z,2,borrowed
43,NEIL.RENNER@email.com,MASSAGE IMAGE,2005-05-25T04:39:25.000Z,2005-05-26T05:54:25.000Z,2,lost
57,JENNIFER.DAVIS@email.com,SUBMARINE BED,2005-05-25T07:43:32.000Z,2005-05-29T05:42:32.000Z,2,returned
63,MARTIN.BALES@email.com,SWEETHEARTS SUSPECTS,2005-05-25T08:19:16.000Z,2005-05-27T03:24:16.000Z,1,lost
82,JESUS.MCCARTNEY@email.com,FARGO GANDHI,2005-05-25T11:17:46.000Z,2005-06-01T09:48:46.000Z,1,returned
107,EDWARD.BAUGH@email.com,NETWORK PEAK,2005-05-25T17:28:09.000Z,2005-06-03T21:46:09.000Z,2,returned
124,MARIAN.MENDOZA@email.com,BACKLASH UNDEFEATED,2005-05-25T19:46:11.000Z,2005-05-29T23:47:11.000Z,2,borrowed
125,HARRY.ARCE@email.com,DARN FORRESTER,2005-05-25T19:48:50.000Z,2005-06-02T20:39:50.000Z,1,returned
127,NORMA.GONZALES@email.com,HUNGER ROOF,2005-05-25T20:10:40.000Z,2005-06-02T20:38:40.000Z,1,borrowed
141,JULIA.FLORES@email.com,CONGENIALITY QUEST,2005-05-25T22:34:53.000Z,2005-06-02T00:57:53.000Z,1,borrowed
153,ROGER.QUINTANILLA@email.com,STORM HAPPINESS,2005-05-25T23:47:47.000Z,2005-05-27T20:28:47.000Z,1,returned
171,BRYAN.HARDISON@email.com,WITCHES PANIC,2005-05-26T02:14:15.000Z,2005-06-02T23:24:15.000Z,2,returned
207,FRANCES.PARKER@email.com,AMERICAN CIRCUS,2005-05-26T07:04:38.000Z,2005-05-27T08:32:38.000Z,2,delayed
220,LONNIE.TIRADO@email.com,ELIZABETH SHANE,2005-05-26T09:06:49.000Z,2005-06-01T06:43:49.000Z,1,delayed
288,KATHRYN.COLEMAN@email.com,SEATTLE EXPECATIONS,2005-05-26T18:47:49.000Z,2005-06-03T19:53:49.000Z,2,returned
312,LESLIE.GORDON@email.com,HOUSE DYNAMITE,2005-05-26T21:52:19.000Z,2005-06-02T17:14:19.000Z,2,lost
330,CAROLINE.BOWMAN@email.com,FRENCH HOLIDAY,2005-05-27T01:15:30.000Z,2005-06-04T04:09:30.000Z,2,borrowed
332,JAMES.GANNON@email.com,FREDDY STORM,2005-05-27T01:27:10.000Z,2005-06-03T00:26:10.000Z,2,borrowed
338,LORRAINE.STEPHENS@email.com,MERMAID INSECTS,2005-05-27T02:42:52.000Z,2005-06-01T04:23:52.000Z,2,borrowed
359,ALICIA.MILLS@email.com,DRIVING POLISH,2005-05-27T05:48:33.000Z,2005-05-29T02:55:33.000Z,1,returned
361,SERGIO.STANFIELD@email.com,ACADEMY DINOSAUR,2005-05-27T06:03:28.000Z,2005-05-31T07:01:28.000Z,1,borrowed
365,SALLY.PIERCE@email.com,ODDS BOOGIE,2005-05-27T06:31:20.000Z,2005-06-04T03:46:20.000Z,1,returned
379,SALVADOR.TEEL@email.com,SALUTE APOLLO,2005-05-27T08:25:32.000Z,2005-06-02T05:19:32.000Z,1,returned
380,JUNE.CARROLL@email.com,GROUNDHOG UNCUT,2005-05-27T08:34:39.000Z,2005-06-04T10:45:39.000Z,1,returned
398,MELVIN.ELLINGTON@email.com,GOLDMINE TYCOON,2005-05-27T11:44:03.000Z,2005-06-02T07:19:03.000Z,1,borrowed
410,LESLIE.SEWARD@email.com,SWEETHEARTS SUSPECTS,2005-05-27T13:11:22.000Z,2005-06-02T19:06:22.000Z,2,borrowed
422,DANIELLE.DANIELS@email.com,DRIVER ANNIE,2005-05-27T14:31:55.000Z,2005-06-01T10:47:55.000Z,2,returned
443,KURT.EMMONS@email.com,HUNCHBACK IMPOSSIBLE,2005-05-27T17:35:20.000Z,2005-06-04T17:58:20.000Z,1,borrowed
444,MINNIE.ROMERO@email.com,CLONES PINOCCHIO,2005-05-27T17:39:15.000Z,2005-06-01T14:56:15.000Z,1,borrowed
475,JILL.HAWKINS@email.com,MALKOVICH PET,2005-05-27T21:16:26.000Z,2005-05-28T18:58:26.000Z,1,lost
487,DAVE.GARDINER@email.com,SPEED SUIT,2005-05-27T23:00:30.000Z,2005-05-28T18:18:30.000Z,2,borrowed
2,TOMMY.COLLAZO@email.com,FREAKY POCUS,2005-05-24T21:54:33.000Z,2005-05-28T18:40:33.000Z,1,returned
36,BONNIE.HUGHES@email.com,ESCAPE METROPOLIS,2005-05-25T03:36:26.000Z,2005-05-28T23:31:26.000Z,1,delayed
44,GERTRUDE.CASTILLO@email.com,PIRATES ROXANNE,2005-05-25T04:53:23.000Z,2005-05-29T09:56:23.000Z,2,returned
53,DAVE.GARDINER@email.com,ELEPHANT TROJAN,2005-05-25T06:19:16.000Z,2005-05-27T04:19:16.000Z,2,delayed
60,GORDON.ALLARD@email.com,BINGO TALENTED,2005-05-25T07:58:25.000Z,2005-05-30T13:14:25.000Z,1,lost
71,ROBIN.HAYES@email.com,LOATHING LEGALLY,2005-05-25T09:26:39.000Z,2005-05-28T03:59:39.000Z,1,delayed
86,NORA.HERRERA@email.com,JUMPING WRATH,2005-05-25T12:36:12.000Z,2005-05-30T13:53:12.000Z,1,delayed
89,MARC.OUTLAW@email.com,ISLAND EXORCIST,2005-05-25T13:28:29.000Z,2005-05-29T13:33:29.000Z,1,delayed
96,JOYCE.EDWARDS@email.com,RUGRATS SHAKESPEARE,2005-05-25T15:32:19.000Z,2005-05-30T09:47:19.000Z,2,delayed
